title,thumbnail,date,views,user_id,description,categories,link
Software-defined networking (SDN) for data centers.,27.jpg,25/11/2023,0,1,Software-defined networking (SDN) for data centers.,Networks and Communication,https://www.researchgate.net/publication/335752979_Cybersecurity_of_Critical_Infrastructure
Internet of Things (IoT) communication protocols.,28.jpg,25/11/2023,0,1,Internet of Things (IoT) communication protocols.,Networks and Communication,https://www.researchgate.net/publication/267339360_Software-Defined_Networking_Challenges_and_research_opportunities_for_Future_Internet
Network function virtualization (NFV).,29.jpg,25/11/2023,0,1,Network function virtualization (NFV).,Networks and Communication,https://www.researchgate.net/publication/320614944_Internet_of_Things_IoT_Communication_Protocols_Review
Quantum communication and cryptography.,30.jpg,25/11/2023,0,1,Quantum communication and cryptography.,Networks and Communication,https://www.researchgate.net/publication/281524200_Network_Function_Virtualization_State-of-the-Art_and_Research_Challenges
Peer-to-peer networks and applications.,31.jpg,25/11/2023,0,1,Peer-to-peer networks and applications.,Networks and Communication,https://www.sciencedirect.com/science/article/pii/S2772918423000073
Energy-efficient communication networks.,32.jpg,25/11/2023,0,1,Energy-efficient communication networks.,Networks and Communication,https://iopscience.iop.org/article/10.1088/1742-6596/1961/1/012013/pdf
Network security and intrusion detection systems.,33.jpg,25/11/2023,0,1,Network security and intrusion detection systems.,Networks and Communication,https://www.researchgate.net/publication/262239056_Energy_efficiency_in_communications
Mobile edge computing (MEC).,34.jpg,25/11/2023,0,1,Mobile edge computing (MEC).,Networks and Communication,https://ieeexplore.ieee.org/document/9623451
Object detection and tracking in real-time video.,35.jpg,25/11/2023,0,1,Object detection and tracking in real-time video.,Computer Vision,https://www.researchgate.net/publication/285765997_A_Survey_on_Mobile_Edge_Computing
Image segmentation for medical image analysis.,36.jpg,25/11/2023,0,1,Image segmentation for medical image analysis.,Computer Vision,https://www.researchgate.net/publication/271556928_Real-time_object_detection_and_tracking
Facial recognition and privacy concerns.,37.jpg,25/11/2023,0,1,Facial recognition and privacy concerns.,Computer Vision,https://www.sciencedirect.com/science/article/abs/pii/S1361841523001780
3D object reconstruction from 2D images.,38.jpg,25/11/2023,0,1,3D object reconstruction from 2D images.,Computer Vision,https://www.frontiersin.org/articles/10.3389/fpsyg.2021.809736/full
Augmented reality applications.,39.jpg,25/11/2023,0,1,Augmented reality applications.,Computer Vision,https://www.researchgate.net/publication/236864678_Generating_3D_Model_Using_2D_Images_of_an_Object
Remote sensing and satellite image analysis.,40.jpg,25/11/2023,0,1,Remote sensing and satellite image analysis.,Computer Vision,https://www.researchgate.net/publication/354383854_Augmented_Reality_Research_and_Applications_in_Education
Image-based food recognition for dietary tracking.,41.jpg,25/11/2023,0,1,Image-based food recognition for dietary tracking.,Computer Vision,https://www.researchgate.net/publication/315303713_Remote_Sensing_Satellite_Image_Processing_Techniques_for_Image_Classification_A_Comprehensive_Survey
Deep learning for image super-resolution.,42.jpg,25/11/2023,0,1,Deep learning for image super-resolution.,Computer Vision,https://www.researchgate.net/publication/321070597_Food_photo_recognition_for_dietary_tracking_system_and_experiment
Vision-based autonomous drones.,43.jpg,25/11/2023,0,1,Vision-based autonomous drones.,Computer Vision,https://arxiv.org/pdf/1808.03344.pdf
DevOps and continuous integration/continuous deployment (CI/CD).,44.jpg,25/11/2023,0,1,DevOps and continuous integration/continuous deployment (CI/CD).,Software Engineering,https://www.mdpi.com/2504-446X/7/6/400
Software testing automation using AI.,45.jpg,25/11/2023,0,1,Software testing automation using AI.,Software Engineering,https://www.researchgate.net/publication/350157935_Understanding_DevOps_bridging_the_gap_from_continuous_integration_to_continuous_delivery
Microservices architecture and containerization.,46.jpg,25/11/2023,0,1,Microservices architecture and containerization.,Software Engineering,https://www.researchgate.net/publication/357876318_Artificial_Intelligence_in_Software_Testing_Impact_Problems_Challenges_and_Prospect
Software quality metrics and assessment.,47.jpg,25/11/2023,0,1,Software quality metrics and assessment.,Software Engineering,https://www.researchgate.net/publication/372501148_Containerization_Revolutionizing_Software_Development_and_Deployment_Through_Microservices_Architecture_Using_Docker_and_Kubernetes
Professional's Perspective on Legacy system modernization.,48.jpg,25/11/2023,0,1,Professional's Perspective on Legacy system modernization.,Software Engineering,https://www.researchgate.net/publication/333505554_A_Study_on_Software_Metrics_and_its_Impact_on_Software_Quality
Agile and Scrum methodologies in large organizations.,49.jpg,25/11/2023,0,1,Agile and Scrum methodologies in large organizations.,Software Engineering,https://www.researchgate.net/publication/266656277_How_do_professionals_perceive_legacy_systems_and_software_modernization
Open-source software development practices.,50.jpg,25/11/2023,0,1,Open-source software development practices.,Software Engineering,https://www.researchgate.net/publication/326141661_Agile_Methods_on_Large_Projects_in_Large_Organizations
DevSecOps for secure software development.,51.jpg,25/11/2023,0,1,DevSecOps for secure software development.,Software Engineering,https://www.researchgate.net/publication/2856601_FreeOpen_Source_Software_Development_Practices_in_the_Computer_Game_Community
User experience (UX) design for virtual reality (VR).,52.jpg,25/11/2023,0,1,User experience (UX) design for virtual reality (VR).,Human-Computer Interaction (HCI),https://dl.acm.org/doi/fullHtml/10.1145/3442167.3442178
Accessibility and inclusive design in user interfaces.,53.jpg,25/11/2023,0,1,Accessibility and inclusive design in user interfaces.,Human-Computer Interaction (HCI),https://www.researchgate.net/publication/235518864_Using_Virtual_Reality_to_Assess_User_Experience
Human-robot interaction and collaboration.,54.jpg,25/11/2023,0,1,Human-robot interaction and collaboration.,Human-Computer Interaction (HCI),https://www.researchgate.net/publication/271657803_Universal_design_inclusive_design_accessible_design_design_for_all_different_concepts-one_goal_On_the_concept_of_accessibility-historical_methodological_and_philosophical_aspects
Augmented reality (AR) interfaces for maintenance and training.,55.jpg,25/11/2023,0,1,Augmented reality (AR) interfaces for maintenance and training.,Human-Computer Interaction (HCI),https://www.researchgate.net/publication/338416335_Human-Robot_Interaction_Efficiency_and_Human-Robot_Collaboration
Multimodal interaction for smart environments.,56.jpg,25/11/2023,0,1,Multimodal interaction for smart environments.,Human-Computer Interaction (HCI),https://www.researchgate.net/publication/273973453_Augmented_Reality_and_the_Future_of_Maintenance
Usability testing and user experience evaluation.,57.jpg,25/11/2023,0,1,Usability testing and user experience evaluation.,Human-Computer Interaction (HCI),https://www.researchgate.net/publication/220945141_Multimodal_user_interfaces_for_smart_environments
Brain-computer interfaces for assistive technology.,58.jpg,25/11/2023,0,1,Brain-computer interfaces for assistive technology.,Human-Computer Interaction (HCI),https://www.researchgate.net/publication/373487143_USABILITY_AND_USER_EXPERIENCE_DESIGN_AND_EVALUATION
Gamification in educational and training interfaces.,59.jpg,25/11/2023,0,1,Gamification in educational and training interfaces.,Human-Computer Interaction (HCI),https://www.sciencedirect.com/science/article/pii/S1877065714018314
NoSQL databases and their applicability in modern systems.,60.jpg,25/11/2023,0,1,NoSQL databases and their applicability in modern systems.,Databases and Data Management,https://www.mdpi.com/2227-7102/11/1/22
Geospatial databases for location-based services.,61.jpg,25/11/2023,0,1,Geospatial databases for location-based services.,Databases and Data Management,https://www.mdpi.com/1999-4893/12/5/106
Graph databases for social network analysis.,62.jpg,25/11/2023,0,1,Graph databases for social network analysis.,Databases and Data Management,https://www.researchgate.net/publication/222679581_Location_Based_Services_and_GIS_in_Perspective
Data deduplication and cleaning techniques.,63.jpg,25/11/2023,0,1,Data deduplication and cleaning techniques.,Databases and Data Management,https://www.researchgate.net/publication/297707303_Social_Network_Analysis_with_Content_and_Graphs
Blockchain-based distributed databases and their use cases.,64.jpg,25/11/2023,0,1,Blockchain-based distributed databases and their use cases.,Databases and Data Management,https://www.researchgate.net/publication/334411038_Data_deduplication
Data replication and consistency in distributed systems.,65.jpg,25/11/2023,0,1,Data replication and consistency in distributed systems.,Databases and Data Management,https://www.researchgate.net/publication/326728163_Renovating_blockchain_with_distributed_databases_An_open_source_system
Time-series databases for IoT data storage.,66.jpg,25/11/2023,0,1,Time-series databases for IoT data storage.,Databases and Data Management,https://www.researchgate.net/publication/225220322_Data_replication_in_a_distributed_system_A_performance_study
Data governance and lineage tracking.,67.jpg,25/11/2023,0,1,Data governance and lineage tracking.,Databases and Data Management,https://www.researchgate.net/publication/363128579_Performance_Study_of_Time_Series_Databases
Stream processing for real-time data analytics.,68.jpg,25/11/2023,0,1,Stream processing for real-time data analytics.,Databases and Data Management,https://www.sciencedirect.com/topics/computer-science/data-lineage
Database security and encryption techniques.,69.jpg,25/11/2023,0,1,Database security and encryption techniques.,Databases and Data Management,https://www.researchgate.net/publication/326985824_Real-time_Data_Stream_Processing_-_Challenges_and_Perspectives
Progressive web applications (PWAs) and their adoption.,70.jpg,25/11/2023,0,1,Progressive web applications (PWAs) and their adoption.,Web Technologies,https://www.researchgate.net/publication/235992242_Database_Security_and_Encryption_A_Survey_Study
Web accessibility and compliance with WCAG standards.,71.jpg,25/11/2023,0,1,Web accessibility and compliance with WCAG standards.,Web Technologies,https://www.researchgate.net/publication/343472764_Dawning_of_Progressive_Web_Applications_PWA_Edging_Out_the_Pitfalls_of_Traditional_Mobile_Development
Web scraping and data extraction methods.,72.jpg,25/11/2023,0,1,Web scraping and data extraction methods.,Web Technologies,https://www.sciencedirect.com/science/article/pii/S1071581922001756
Web performance optimization for faster loading times.,73.jpg,25/11/2023,0,1,Web performance optimization for faster loading times.,Web Technologies,https://www.researchgate.net/publication/228095933_Web_Data_Extraction_Applications_and_Techniques_A_Survey
Web security vulnerabilities and prevention strategies.,74.jpg,25/11/2023,0,1,Web security vulnerabilities and prevention strategies.,Web Technologies,https://www.researchgate.net/publication/274070742_A_Study_of_Factors_Affecting_Websites_Page_Loading_Speed_for_Efficient_Web_Performance
Serverless computing for web application development.,75.jpg,25/11/2023,0,1,Serverless computing for web application development.,Web Technologies,https://www.researchgate.net/publication/324935252_A_study_on_web_application_security_and_detecting_security_vulnerabilities
Content management systems (CMS) for e-commerce websites.,76.jpg,25/11/2023,0,1,Content management systems (CMS) for e-commerce websites.,Web Technologies,https://journalofcloudcomputing.springeropen.com/articles/10.1186/s13677-021-00253-7
Web-based e-learning platforms and their effectiveness.,77.jpg,25/11/2023,0,1,Web-based e-learning platforms and their effectiveness.,Web Technologies,https://digitalcommons.harrisburgu.edu/cgi/viewcontent.cgi?article=1007&context=pmgt_dandt
The impact of web accessibility on search engine optimization (SEO).,78.jpg,25/11/2023,0,1,The impact of web accessibility on search engine optimization (SEO).,Web Technologies,https://educationaltechnologyjournal.springeropen.com/articles/10.1186/s41239-020-00216-z
Web-based collaboration tools for remote teams.,79.jpg,25/11/2023,0,1,Web-based collaboration tools for remote teams.,Web Technologies,https://www.diva-portal.org/smash/get/diva2:1566942/FULLTEXT01.pdf
Real-time ray tracing in video games and its impact on gaming.,80.jpg,25/11/2023,0,1,Real-time ray tracing in video games and its impact on gaming.,Computer Graphics and Visualization,https://www.researchgate.net/publication/287157555_Tools_for_Online_Collaboration_Do_they_contribute_to_Improve_Teamwork
Medical data visualization techniques for diagnosis.,81.jpg,25/11/2023,0,1,Medical data visualization techniques for diagnosis.,Computer Graphics and Visualization,https://www.researchgate.net/publication/221385650_Realtime_Ray_Tracing_for_Current_and_Future_Games
Information visualization for big data understanding.,82.jpg,25/11/2023,0,1,Information visualization for big data understanding.,Computer Graphics and Visualization,https://www.mdpi.com/2075-4418/13/10/1733
Augmented and virtual reality in architectural design.,83.jpg,25/11/2023,0,1,Augmented and virtual reality in architectural design.,Computer Graphics and Visualization,https://www.researchgate.net/publication/308278122_Visualizing_Big_Data
Augmented reality for cultural heritage preservation.,84.jpg,25/11/2023,0,1,Augmented reality for cultural heritage preservation.,Computer Graphics and Visualization,https://www.researchgate.net/publication/366879982_Virtual_Reality_in_Architecture
Visual analytics for business intelligence and decision support.,85.jpg,25/11/2023,0,1,Visual analytics for business intelligence and decision support.,Computer Graphics and Visualization,https://www.mdpi.com/2076-3417/12/19/9859
3D modeling and animation techniques for realistic simulations.,86.jpg,25/11/2023,0,1,3D modeling and animation techniques for realistic simulations.,Computer Graphics and Visualization,https://www.researchgate.net/publication/352114055_Visual_Analytics_for_Decision_Support_A_Supply_Chain_Perspective
Interactive data visualization tools and user engagement.,87.jpg,25/11/2023,0,1,Interactive data visualization tools and user engagement.,Computer Graphics and Visualization,https://www.researchgate.net/publication/359010447_Animation_Image_Art_Design_Mode_Using_3D_Modeling_Technology
Quantum algorithms and their applications in various domains.,88.jpg,25/11/2023,0,1,Quantum algorithms and their applications in various domains.,Algorithms and Complexity,https://www.researchgate.net/publication/316463436_Assessing_User_Engagement_in_Information_Visualization
Approximation algorithms for solving NP-hard problems.,89.jpg,25/11/2023,0,1,Approximation algorithms for solving NP-hard problems.,Algorithms and Complexity,https://scholarworks.lib.csusb.edu/cgi/viewcontent.cgi?article=1410&context=jitim
Parallel and distributed algorithms for large-scale computation.,90.jpg,25/11/2023,0,1,Parallel and distributed algorithms for large-scale computation.,Algorithms and Complexity,https://www.cs.ucr.edu/~neal/publication/Klein10Approximation.pdf
Online algorithms for handling dynamic data streams.,91.jpg,25/11/2023,0,1,Online algorithms for handling dynamic data streams.,Algorithms and Complexity,https://www.researchgate.net/publication/228922745_Towards_parallel_and_distributed_computing_in_large-scale_data_mining_A_survey
Swarm intelligence and optimization techniques.,92.jpg,25/11/2023,0,1,Swarm intelligence and optimization techniques.,Algorithms and Complexity,https://www.mdpi.com/2227-7390/7/12/1229
Algorithmic game theory and mechanism design for resource allocationhttps://www.researchgate.net/publication/220427658_Algorithmic_Game_Theory,93.jpg,25/11/2023,0,1,Algorithmic game theory and mechanism design for resource allocationhttps://www.researchgate.net/publication/220427658_Algorithmic_Game_Theory,Algorithms and Complexity,https://www.researchgate.net/publication/326440873_Swarm_Optimization_Techniques_A_survey
Network flow algorithms and their use cases.,94.jpg,25/11/2023,0,1,Network flow algorithms and their use cases.,Algorithms and Complexity,https://www.researchgate.net/publication/220427658_Algorithmic_Game_Theory
Serverless computing and Function as a Service (FaaS) platforms.,95.jpg,25/11/2023,0,1,Serverless computing and Function as a Service (FaaS) platforms.,Cloud Computing,https://digitalcommons.georgiasouthern.edu/cgi/viewcontent.cgi?article=2720&context=etd
Multi-cloud management and challenges in interoperability.,96.jpg,25/11/2023,0,1,Multi-cloud management and challenges in interoperability.,Cloud Computing,https://journalofcloudcomputing.springeropen.com/articles/10.1186/s13677-021-00253-7
Cloud-native application development practices and it's Benefits,97.jpg,25/11/2023,0,1,Cloud-native application development practices and it's Benefits,Cloud Computing,https://www.researchgate.net/publication/282679812_Challenges_in_Achieving_IaaS_Cloud_Interoperability_across_Multiple_Cloud_Management_Frameworks
Energy-efficient data centers and sustainability.,98.jpg,25/11/2023,0,1,Energy-efficient data centers and sustainability.,Cloud Computing,https://www.researchgate.net/publication/372159964_Exploring_the_Benefits_and_Challenges_of_Cloud_Native_Application_Development_A_Comprehensive_Study
Cloud security and compliance measures.,99.jpg,25/11/2023,0,1,Cloud security and compliance measures.,Cloud Computing,https://www.researchgate.net/publication/268208144_ENERGY_GREEN_DATA_CENTERS_FOR_SUSTAINABILITY_---_White_Paper_by_NIST-TIP_National_Institute_of_Standards_and_Technology_-_Technology_Innovations_Program
Cloud cost optimization strategies.,100.jpg,25/11/2023,0,1,Cloud cost optimization strategies.,Cloud Computing,https://www.researchgate.net/publication/323081755_Security_and_Compliance_Management_in_Cloud_Computing
Serverless orchestration and workflow management.,101.jpg,25/11/2023,0,1,Serverless orchestration and workflow management.,Cloud Computing,https://www.researchgate.net/publication/372560889_Cloud_Cost_Optimization_A_Comprehensive_Review_of_Strategies_and_Case_Studies
Cloud-based disaster recovery and business continuity.,102.jpg,25/11/2023,0,1,Cloud-based disaster recovery and business continuity.,Cloud Computing,https://www.sciencedirect.com/science/article/pii/S0167739X21001989
Edge computing and its role in cloud systems.,103.jpg,25/11/2023,0,1,Edge computing and its role in cloud systems.,Cloud Computing,https://www.researchgate.net/publication/312166397_Data_recovery_and_business_continuity_in_Cloud_computing_A_Review_of_the_Research_Literature
Serverless architecture and its impact on application scalability.,104.jpg,25/11/2023,0,1,Serverless architecture and its impact on application scalability.,Cloud Computing,https://www.researchgate.net/publication/323268025_The_Role_of_Edge_Computing_in_Internet_of_Things
Personalized search engines and recommendation systems.,105.jpg,25/11/2023,0,1,Personalized search engines and recommendation systems.,Information Retrieval and Search,https://journalofcloudcomputing.springeropen.com/articles/10.1186/s13677-021-00253-7
Natural language search and conversational search agents.,106.jpg,25/11/2023,0,1,Natural language search and conversational search agents.,Information Retrieval and Search,https://www.researchgate.net/publication/329060858_Personalized_Recommendation_Systems_PRES_A_Comprehensive_Study_and_Research_Issues
Federated search across heterogeneous data sources.,107.jpg,25/11/2023,0,1,Federated search across heterogeneous data sources.,Information Retrieval and Search,https://pure.strath.ac.uk/ws/portalfiles/portal/81774688/Dubiel_etal_CAIR_2018_Investigating_how_conversational_search_agents_affect_users_behaviour.pdf
Cross-lingual and multilingual information retrieval.,108.jpg,25/11/2023,0,1,Cross-lingual and multilingual information retrieval.,Information Retrieval and Search,https://www.lti.cs.cmu.edu/sites/default/files/research/thesis/2011/jaime_arguello_federated_search_in_heterogenous_environments.pdf
Privacy-preserving search algorithms.,109.jpg,25/11/2023,0,1,Privacy-preserving search algorithms.,Information Retrieval and Search,https://www.researchgate.net/publication/305113992_A_Review_on_the_Cross_and_Multilingual_Information_Retrieval
Voice-based search and virtual voice assistants.,110.jpg,25/11/2023,0,1,Voice-based search and virtual voice assistants.,Information Retrieval and Search,https://www.researchgate.net/publication/226923272_A_General_Survey_of_Privacy-Preserving_Data_Mining_Models_and_Algorithms
Deep learning for information retrieval and recommendation.,111.jpg,25/11/2023,0,1,Deep learning for information retrieval and recommendation.,Information Retrieval and Search,https://www.researchgate.net/publication/372309726_VOICE_BASED_VIRTUAL_ASSISTANT
Search in the dark web and encrypted data sources.,112.jpg,25/11/2023,0,1,Search in the dark web and encrypted data sources.,Information Retrieval and Search,https://iopscience.iop.org/article/10.1088/1757-899X/677/3/032101/pdf
Semantic search and knowledge graph-based retrieval.,113.jpg,25/11/2023,0,1,Semantic search and knowledge graph-based retrieval.,Information Retrieval and Search,https://uu.diva-portal.org/smash/get/diva2:1792762/FULLTEXT01.pdf
Genomic data analysis for personalized medicine and treatment.,114.jpg,25/11/2023,0,1,Genomic data analysis for personalized medicine and treatment.,Bioinformatics and Computational Biology,https://www.mdpi.com/2071-1050/15/7/6319
Protein structure prediction using computational methods.,115.jpg,25/11/2023,0,1,Protein structure prediction using computational methods.,Bioinformatics and Computational Biology,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9104788/
Comparative genomics and phylogenetic analysis.,116.jpg,25/11/2023,0,1,Comparative genomics and phylogenetic analysis.,Bioinformatics and Computational Biology,https://www.researchgate.net/publication/335790495_Computational_Methods_Used_in_Prediction_of_Protein_Structure
Drug-target interaction prediction and drug discovery.,117.jpg,25/11/2023,0,1,Drug-target interaction prediction and drug discovery.,Bioinformatics and Computational Biology,https://www.nature.com/articles/s41598-023-30570-7
Metagenomics and microbiome analysis for health insights.,118.jpg,25/11/2023,0,1,Metagenomics and microbiome analysis for health insights.,Bioinformatics and Computational Biology,https://www.nature.com/articles/s41467-021-27137-3
Computational neuroscience and brain modeling.,119.jpg,25/11/2023,0,1,Computational neuroscience and brain modeling.,Bioinformatics and Computational Biology,https://www.frontiersin.org/articles/10.3389/fmicb.2022.779196/full
Cancer genomics and biomarker discovery.,120.jpg,25/11/2023,0,1,Cancer genomics and biomarker discovery.,Bioinformatics and Computational Biology,https://academic.oup.com/nsr/article/7/9/1418/5856589
Computational epidemiology for disease modeling and tracking.,121.jpg,25/11/2023,0,1,Computational epidemiology for disease modeling and tracking.,Bioinformatics and Computational Biology,https://www.nature.com/articles/s41598-020-78126-3
Quantum algorithms for integer factorization and cryptography.,122.jpg,25/11/2023,0,1,Quantum algorithms for integer factorization and cryptography.,Quantum Computing,https://www.researchgate.net/publication/262327556_Computational_Epidemiology
Quantum error correction codes and fault tolerance.,123.jpg,25/11/2023,0,1,Quantum error correction codes and fault tolerance.,Quantum Computing,https://www.researchgate.net/publication/333533828_Quantum_Algorithms_for_Integer_Factorization
Quantum machine learning algorithms and their applications.,124.jpg,25/11/2023,0,1,Quantum machine learning algorithms and their applications.,Quantum Computing,https://www.osti.gov/servlets/purl/1640593
Quantum cryptography for secure communication.,125.jpg,25/11/2023,0,1,Quantum cryptography for secure communication.,Quantum Computing,https://arxiv.org/pdf/2201.04093.pdf
Quantum annealing and optimization problems.,126.jpg,25/11/2023,0,1,Quantum annealing and optimization problems.,Quantum Computing,https://www.researchgate.net/publication/367662461_Quantum_Cryptography_A_Pathway_to_Secure_Communication
Quantum simulations for physical and chemical systems.,127.jpg,25/11/2023,0,1,Quantum simulations for physical and chemical systems.,Quantum Computing,https://docs.lib.purdue.edu/cgi/viewcontent.cgi?article=3184&context=open_access_dissertations
Hybrid quantum-classical computing models.,128.jpg,25/11/2023,0,1,Hybrid quantum-classical computing models.,Quantum Computing,https://hammer.purdue.edu/articles/thesis/QUANTUM_COMPUTING_AND_QUANTUM_SIMULATION_FOR_COMPLEX_SYSTEMS/21636767
Quantum supremacy and practical quantum applications.,129.jpg,25/11/2023,0,1,Quantum supremacy and practical quantum applications.,Quantum Computing,https://www.researchgate.net/publication/364814300_Classification_of_Hybrid_Quantum-Classical_Computing
Secure coding practices and code analysis tools.,130.jpg,25/11/2023,0,1,Secure coding practices and code analysis tools.,Software security,https://www.researchgate.net/publication/349166123_Fundamentals_of_Quantum_Computing_Quantum_Supremacy_and_Quantum_Machine_Learning
Threat modeling and risk assessment in software development.,131.jpg,25/11/2023,0,1,Threat modeling and risk assessment in software development.,Software security,Software security
Security of IoT devices and their vulnerabilities.,132.jpg,25/11/2023,0,1,Security of IoT devices and their vulnerabilities.,Software security,Software security
Vulnerability disclosure policies and responsible disclosure practices.,133.jpg,25/11/2023,0,1,Vulnerability disclosure policies and responsible disclosure practices.,Software security,Software security
Mobile app security and reverse engineering.,134.jpg,25/11/2023,0,1,Mobile app security and reverse engineering.,Software security,Software security
Hardware security and hardware-based attacks.,135.jpg,25/11/2023,0,1,Hardware security and hardware-based attacks.,Software security,Software security
Secure boot processes and firmware security.,136.jpg,25/11/2023,0,1,Secure boot processes and firmware security.,Software security,Software security
Security for cloud-native applications and microservices.,137.jpg,25/11/2023,0,1,Security for cloud-native applications and microservices.,Software security,Software security
Blockchain-based security solutions and their limitations.,138.jpg,25/11/2023,0,1,Blockchain-based security solutions and their limitations.,Software security,Software security
Privacy-enhancing technologies for data protection.,139.jpg,25/11/2023,0,1,Privacy-enhancing technologies for data protection.,Software security,Software security
Personalized learning analytics for adaptive education.,140.jpg,25/11/2023,0,1,Personalized learning analytics for adaptive education.,Educational Technology,Software security
Intelligent tutoring systems and their impact on learning.,141.jpg,25/11/2023,0,1,Intelligent tutoring systems and their impact on learning.,Educational Technology,Educational Technology
Gamified learning platforms and engagement strategies.,142.jpg,25/11/2023,0,1,Gamified learning platforms and engagement strategies.,Educational Technology,Educational Technology
